Run_Name,LR,Num_Layers,p,Weight_Decay,Best_Val_Loss,Epochs_Trained
model_lr0.1_nl1_p8_wd0.0,0.1,1,8,0.0,8.533921936759725e-05,151
model_lr0.1_nl1_p8_wd0.0001,0.1,1,8,0.0001,0.000759547168854624,137
model_lr0.1_nl1_p8_wd1e-05,0.1,1,8,1e-05,0.0002172023814637214,77
model_lr0.1_nl1_p16_wd0.0,0.1,1,16,0.0,7.252548675751314e-05,134
model_lr0.1_nl1_p16_wd0.0001,0.1,1,16,0.0001,0.0007216152152977884,27
model_lr0.1_nl1_p16_wd1e-05,0.1,1,16,1e-05,0.00016555955517105758,83
model_lr0.1_nl1_p32_wd0.0,0.1,1,32,0.0,6.760301039321348e-05,150
model_lr0.1_nl1_p32_wd0.0001,0.1,1,32,0.0001,0.0007656455272808671,45
model_lr0.1_nl1_p32_wd1e-05,0.1,1,32,1e-05,0.0006740394164808095,36
model_lr0.1_nl1_p64_wd0.0,0.1,1,64,0.0,0.00026253549731336534,87
model_lr0.1_nl1_p64_wd0.0001,0.1,1,64,0.0001,0.0023881159722805023,23
model_lr0.1_nl1_p64_wd1e-05,0.1,1,64,1e-05,inf,1
model_lr0.1_nl2_p8_wd0.0,0.1,2,8,0.0,0.0001996216451516375,63
model_lr0.1_nl2_p8_wd0.0001,0.1,2,8,0.0001,0.0009268231224268675,104
model_lr0.1_nl2_p8_wd1e-05,0.1,2,8,1e-05,0.000316685443976894,53
model_lr0.1_nl2_p16_wd0.0,0.1,2,16,0.0,0.00015824849833734334,126
model_lr0.1_nl2_p16_wd0.0001,0.1,2,16,0.0001,0.0009148327517323196,165
model_lr0.1_nl2_p16_wd1e-05,0.1,2,16,1e-05,0.0002130476204911247,64
model_lr0.1_nl2_p32_wd0.0,0.1,2,32,0.0,0.0007394906133413315,172
model_lr0.1_nl2_p32_wd0.0001,0.1,2,32,0.0001,0.012913275510072708,19
model_lr0.1_nl2_p32_wd1e-05,0.1,2,32,1e-05,0.00047855282900854945,81
model_lr0.1_nl2_p64_wd0.0,0.1,2,64,0.0,inf,1
model_lr0.1_nl2_p64_wd0.0001,0.1,2,64,0.0001,0.01603339985013008,29
model_lr0.1_nl2_p64_wd1e-05,0.1,2,64,1e-05,inf,1
model_lr0.1_nl3_p8_wd0.0,0.1,3,8,0.0,0.00018511296366341412,138
model_lr0.1_nl3_p8_wd0.0001,0.1,3,8,0.0001,0.0014926748117431998,19
model_lr0.1_nl3_p8_wd1e-05,0.1,3,8,1e-05,0.00028163008391857147,138
model_lr0.1_nl3_p16_wd0.0,0.1,3,16,0.0,0.007328260224312544,23
model_lr0.1_nl3_p16_wd0.0001,0.1,3,16,0.0001,0.002006357302889228,36
model_lr0.1_nl3_p16_wd1e-05,0.1,3,16,1e-05,0.01009485125541687,42
model_lr0.1_nl3_p32_wd0.0,0.1,3,32,0.0,0.015905287116765976,70
model_lr0.1_nl3_p32_wd0.0001,0.1,3,32,0.0001,0.010384609922766685,20
model_lr0.1_nl3_p32_wd1e-05,0.1,3,32,1e-05,0.014842896722257137,18
model_lr0.1_nl3_p64_wd0.0,0.1,3,64,0.0,0.015902886167168617,151
model_lr0.1_nl3_p64_wd0.0001,0.1,3,64,0.0001,0.01989659294486046,14
model_lr0.1_nl3_p64_wd1e-05,0.1,3,64,1e-05,inf,1
model_lr0.1_nl4_p8_wd0.0,0.1,4,8,0.0,0.005789909511804581,40
model_lr0.1_nl4_p8_wd0.0001,0.1,4,8,0.0001,0.002088514156639576,64
model_lr0.1_nl4_p8_wd1e-05,0.1,4,8,1e-05,0.0004952886374667287,36
model_lr0.1_nl4_p16_wd0.0,0.1,4,16,0.0,0.008775660768151283,39
model_lr0.1_nl4_p16_wd0.0001,0.1,4,16,0.0001,0.0021462503354996443,67
model_lr0.1_nl4_p16_wd1e-05,0.1,4,16,1e-05,0.008758392184972763,19
model_lr0.1_nl4_p32_wd0.0,0.1,4,32,0.0,0.015876010060310364,24
model_lr0.1_nl4_p32_wd0.0001,0.1,4,32,0.0001,0.011798989027738571,26
model_lr0.1_nl4_p32_wd1e-05,0.1,4,32,1e-05,0.01188731286674738,19
model_lr0.1_nl4_p64_wd0.0,0.1,4,64,0.0,0.01590118557214737,175
model_lr0.1_nl4_p64_wd0.0001,0.1,4,64,0.0001,inf,1
model_lr0.1_nl4_p64_wd1e-05,0.1,4,64,1e-05,inf,1
model_lr0.1_nl5_p8_wd0.0,0.1,5,8,0.0,0.000946791609749198,60
model_lr0.1_nl5_p8_wd0.0001,0.1,5,8,0.0001,0.01590406522154808,32
model_lr0.1_nl5_p8_wd1e-05,0.1,5,8,1e-05,0.0005671011167578399,35
model_lr0.1_nl5_p16_wd0.0,0.1,5,16,0.0,0.008817115798592567,49
model_lr0.1_nl5_p16_wd0.0001,0.1,5,16,0.0001,0.008342019282281399,49
model_lr0.1_nl5_p16_wd1e-05,0.1,5,16,1e-05,0.007352821994572878,58
model_lr0.1_nl5_p32_wd0.0,0.1,5,32,0.0,0.013517986983060837,58
model_lr0.1_nl5_p32_wd0.0001,0.1,5,32,0.0001,0.013335955329239368,55
model_lr0.1_nl5_p32_wd1e-05,0.1,5,32,1e-05,0.012630493380129337,66
model_lr0.1_nl5_p64_wd0.0,0.1,5,64,0.0,0.015901654958724976,150
model_lr0.1_nl5_p64_wd0.0001,0.1,5,64,0.0001,0.0160048957914114,29
model_lr0.1_nl5_p64_wd1e-05,0.1,5,64,1e-05,0.018879607319831848,21
model_lr0.001_nl2_p8_wd0.0,0.001,2,8,0.0,0.00035473471507430077,391
model_lr0.001_nl2_p8_wd0.0001,0.001,2,8,0.0001,0.0005016534705646336,968
model_lr0.001_nl2_p8_wd1e-05,0.001,2,8,1e-05,0.00022235902724787593,999
model_lr0.001_nl2_p16_wd0.0,0.001,2,16,0.0,9.691824379842728e-05,585
model_lr0.001_nl2_p16_wd0.0001,0.001,2,16,0.0001,0.0005429770681075752,268
model_lr0.001_nl2_p16_wd1e-05,0.001,2,16,1e-05,0.00015343046106863767,945
model_lr0.001_nl2_p32_wd0.0,0.001,2,32,0.0,5.607178172795102e-05,291
model_lr0.001_nl2_p32_wd0.0001,0.001,2,32,0.0001,0.0004545416450127959,870
model_lr0.001_nl2_p32_wd1e-05,0.001,2,32,1e-05,0.00013016819139011204,983
model_lr0.001_nl2_p64_wd0.0,0.001,2,64,0.0,2.926779598055873e-05,498
model_lr0.001_nl2_p64_wd0.0001,0.001,2,64,0.0001,0.00038230771315284073,533
model_lr0.001_nl3_p8_wd0.0,0.001,3,8,0.0,0.00031159192440100014,261
model_lr0.001_nl3_p16_wd0.0,0.001,3,16,0.0,9.446055628359318e-05,379
model_lr0.001_nl3_p32_wd0.0,0.001,3,32,0.0,9.039462747750804e-05,257
model_lr0.001_nl3_p64_wd0.0,0.001,3,64,0.0,9.107359801419079e-05,213
model_lr0.001_nl4_p8_wd0.0,0.001,4,8,0.0,0.00044511642772704363,232
model_lr0.001_nl4_p16_wd0.0,0.001,4,16,0.0,0.00011175678082508966,366
model_lr0.001_nl4_p32_wd0.0,0.001,4,32,0.0,8.860002708388492e-05,303
